,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type
1231,2017 Honda City i-VTEC CVT V,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-v-cars-New-Delhi_f5a4dd9d-190a-40cf-a26a-6869cf8e9627.htm?adId=21853&adType=41,465000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"Aruna Nagar, New Delhi",54000.0,Petrol,Automatic
1232,2018 Honda Jazz V,https://www.cardekho.com/used-car-details/used-Honda-jazz-v-cars-New-Delhi_a8379bb5-a4e6-4b29-bef1-7474471da990.htm,390000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Preet Vihar, New Delhi",77000.0,Petrol,Manual
1233,2015 Honda City i VTEC VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-vx-cars-New-Delhi_9759f493-4d77-4b29-bb2f-edb8dab279cb.htm,490000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Paschim Vihar, New Delhi",27000.0,Petrol,Manual
1234,2014 Honda City SV MT,https://www.cardekho.com/buy-used-car-details/used-Honda-city-sv-mt-cars-New-Delhi_a9cea36e-d5c6-45ed-a834-7e0f5d97cf53.htm,430000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Honda,"Rohini Courts, New Delhi",63833.0,Petrol,Manual
1235,2017 Honda City i VTEC CVT VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-Gurgaon_cf1c43c2-2343-4e27-9fc9-4e421a6fe1b9.htm?adId=21134&adType=41,480000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"DLF QE, Gurgaon",120000.0,Petrol,Automatic
1236,2015 Honda City i VTEC CVT SV,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-cvt-sv-cars-New-Delhi_2c613f39-2c83-4c4d-b865-28226737c59b.htm,399000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Rohini Courts, New Delhi",54819.0,Petrol,Automatic
1237,2016 Honda City V MT,https://www.cardekho.com/buy-used-car-details/used-Honda-city-v-mt-cars-New-Delhi_9450fd0d-233f-443f-a0ed-91d20b83b2cb.htm,439000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Honda,"Dwarka Sector-6, New Delhi",82436.0,Petrol,Manual
1238,2015 Honda City i VTEC V,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_a6378474-89e3-4fc9-ba8e-0022e7b4443c.htm,355000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Rohini Courts, New Delhi",57598.0,Petrol,Manual
1239,2021 Honda Amaze Exclusive Edition CVT Diesel,https://www.cardekho.com/used-car-details/used-Honda-amaze-exclusive-edition-cvt-diesel-cars-New-Delhi_a495e3c2-dc35-4c86-80d2-8d6a5f21f915.htm?adId=22508&adType=41,560000.0,https://images10.gaadi.com/usedcar_image/5075389/original/processed_168bff1a-fe2a-4c79-8dab-0f3f6fededf5.jpg?imwidth=640,2021,Honda,"Chattarpur, New Delhi",68465.0,Diesel,Automatic
1240,2016 Honda City i VTEC CVT VX,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_d6442293-759e-483a-a229-9a440badec5c.htm,443000.0,https://images10.gaadi.com/usedcar_image/5103225/original/6c52771987b8fe407efdec8b7a93c520.jpg?imwidth=640,2016,Honda,"Rajouri Garden, New Delhi",94132.0,Petrol,Automatic
